Id	name	popularity	modularity_class	rol	betweenesscentrality
3BaNymWUlGvGOXKRJmySoG	El Osito Wito	37	7	role_3	14661988061
6FmKCCqWSQAhxF0bkObz4b	Juan Moya Y Los Del Valle	37	4	role_2	1342857
2y8W2PypLEsO0G02dDJVdx	Junior	37	7	role_3	314445592
68OOyVnaUOq7m4cxQmZslI	Band&dos	37	9	role_1	287473971
65TLDWbTJxYASqadmNAxvc	Max Dean	37	9	role_2	391711425
68glq48CmjixyDfcKMuk8g	Ka-b	37	5	role_0	0
3wUXULHYiiqd7cTdGjZgCX	Juanchirmx	37	7	role_2	232682492
4DMS5VoKMPXSf6RcyHPCwd	YyGty47	37	0	role_2	1200708035
3wXd0N7IkY2bZ4KMbhmBJ5	Jossie A	37	0	role_2	3934950924
39Sjt2kA9smTRfN2zT9aEI	Nickboy	37	0	role_4	40763186
57QKWHmmY0jb44T2w7ln73	Draxx (ITA)	37	9	role_4	255302426
6T8S4zSY1ICYEG50Hgs3QJ	Reis Belico	36	5	role_0	1419194491
62zWXNKBdOWd9TIdkZ7BQN	Polaco	36	5	role_2	5837960786
7cwVb5v5UxYfwq2m49T8fy	Maximus Wel	36	5	role_4	3717385142
0jf55QNIwsjgU5F0nNjqCu	Original Cast of Go! Vive A Tu Manera	36	1	role_2	10709538
3KsdiCqV04TOBhPWmk7u90	JAF	36	1	role_2	15721175984
3nuuzbcB3ZdqrEQYqR2SQJ	Lui-G 21+	36	5	role_5	2780431713
62nI6AYd7LkBD9JAufr7yi	Clandestino & Yailemm	36	5	role_4	2300276608
4i8gw18sxoX8FrivUaNVTF	Fedu DJ	36	7	role_2	259840342
793ACUr9nbTLP7KZUddXzU	Los Tucu Tucu	36	1	role_2	7739323427
2tt7weNE75ITTS9gLyAmt4	DJ Liendro	36	7	role_2	288175193
73HzrMaQAGRv2nHCiOBlam	Los Carabajal	36	1	role_2	5459228101
0aJgv15DVDKvr0yWb5BzP1	Mery Granados	36	7	role_4	8343783932
6nl0PkJi7Xog1gon9f6WIl	Rafa Barrios	36	9	role_0	1678156154
3BHSpo1fuUPXqRTsokxL6k	Jehza	36	5	role_4	1049022294
4OZ9NCfN5GczACLIYvDCz7	Lalo Brito	36	1	role_2	430019702
1GC9IVqOiXNuWi7UYgPLgC	CAE	36	1	role_5	21301308443
4l6qncc7ne4yU7z9i1Mtet	Jorge Fandermole	36	1	role_0	5763928586
5H2Ir5oA547rZrma8ZXFs5	Max Chapman	36	9	role_4	311292586
0RlibgJa8rtPvVn415J6WN	Malena Villa	36	7	role_5	7648549704
625kGlmcaDymYRSEawXlI9	Pitty Murua	36	1	role_2	1705232104
4U7l68MAeVO9CLljg04lrF	Tres Dedos	36	5	role_0	111747356
1TndreWtLjfAlywnkm966g	Martín Piña	36	7	role_2	52982602
0xJhZwxGtFJ6n5ZAJbVAEe	Fede Rojas	36	7	role_1	22652840468
3zoMlg6gx6K4NcGE15qtCF	Santi Celli	36	7	role_5	1390714258
1UgUBnYpGyrYfGIfkMp08O	NightFunk	36	9	role_5	3077589213
0gEntoAjPckYFid9Mxw6Y2	Milena Salamanca	36	1	role_0	0
0D3svvBQXV1QKmSUzu1SWW	FiltraChilensis	36	0	role_3	737466614
3mrlxgWaEt5MNjAoAq6IRy	Damian Perez	36	7	role_4	727559809
63uKmSPcX2MqAutuEU7cAh	Alien Boyz	36	0	role_2	81703708
5Ul9GhsaGFhf7WdsnEzcLT	Kid Astro	36	7	role_3	2530457952
3urGFEv1zqwK24gupip690	Iglesias	36	9	role_1	1154920695
2locytcgGhNGAWDfhGdHk1	LuisinhoDJ	36	7	role_6	2555296486
5ELYwDwhy00ecTXhfsKWci	Lauta	36	7	role_4	49497777962
1qlaFNonwDsPxqSQZX2jub	Roldan Emi	36	7	role_4	2094796124
7q50Y9VvDql0iRcB84P5Ly	Scrop	35	5	role_0	0
7fxj9VjDxGpHfOPEkgxm6e	Ale Ceberio	35	1	role_1	2040462784
5er576GwPPg5xsOj4lzhud	K0i	35	2	role_2	900661954
0d0wL41ZqFutUwco4uO1dH	Co Cash	35	8	role_0	0
4waUZg7jQgyZE9odZgglJy	Los Dora 2	35	1	role_1	784387144
2wMN1UAgISJA8yQusQL18G	Silvina Moreno	35	7	role_5	11796864431
0TRtXrrdp0uEmcdg5amrLt	Michael Ronda	35	1	role_2	306411608
4X6BwKYD52c4HHDyUqetfU	Denis Elias	35	7	role_2	29273639
